format	extensions	description	tags	encoding	links	apps
Font Description resource	fond	Mac OS	font			
FontForge spline font database Font	sfd		font			
Format for PCB and layout of integrated circuits	gdsii		EDA			
Format of Physiobank	wfdb		biomedical-signals			
FormZ Project file	fmz		CAD			
Forth source	fth		code			
Fortran source	for, ftn, f, f77, f90		code			
FotoInsight Designer	mcf		desktop-publishing			
Free Lossless Audio Codec	flac	Free lossless codec of the Ogg project	audio, music, sound, lossless, compressed			
FreeBASIC	bas		code			
FreeMind mind map file	mm, xml		gio			
Fruity Loops Project file	flp		audio-editing, music-production			
Full-Metadata Format	fmf		multi-domain			
Galaxkey	gxk	An encryption platform for authorized, private and confidential email communication	security			
Game Boy	gb	Applies to the original Game Boy and the Game Boy Color	video-game-storage-media			
Game Boy Advance	gba		video-game-storage-media			
Game Boy Advance Saved Data Files	sav		video-game-storage-media			
Game Boy Color	gbc		video-game-storage-media			
Game Maker Editable file as of version 6.x	gm6		code			
Game Maker Editable file as of version 7.0	gmk		code			
Game Maker Editable file up to version 5.x	gmd		code			
Game Maker Extension Editable file as of version 7.0	ged		code			
Game Maker Language script file	gml		code			
Game plugins	dat, sc4lot, sc4model		video-game-data			Simcity 4, DBPF
Gamebryo NetImmerse File	nif		3d-graphics			
GameCube	gcm		video-game-storage-media			
GarageBand project file	band		audio-editing, music-production			
Gate-level layout	def		EDA			
GDF v1.x	gdf	The General Data Format for biomedical signals	biomedical-signals			
GDF v2.x	gdf	The General Data Format for biomedical signals	biomedical-signals			
GenBank Format	genbank	The flatfile format used by the NCBI to represent database records for nucleotide and peptide sequences from the GenBank and RefSeq databases	biology, molecular-biology			
Gene transfer format	gtf	The Gene transfer format is used to hold information about gene structure.	biology, molecular-biology			
GEnealogical Data COMmunication	gedcom, ged	File format for exchanging genealogical data between different genealogy software	web			
General data formats	gdf	For biomedical signals	signal-data			
General editing	sqf		video-game-data			Real Virtuality Engine, Flashpoint, ARMA 2, VBS2
General feature format	gff	The General feature format is used for describing genes and other features of DNA, RNA and protein sequences	biology, molecular-biology			
General term for minimally processed image data	raw	Accquired by a digital camera	raster-graphic, image			
Gentoo linux's portage package.	ebuild		script			
Geographically located raster data	geotiff		gis			
Geographically located raster data	worldtiff	Text file giving corner coordinate, raster cells per unit, and rotation	gis			
Geography Markup Language file	gml		gis			
Gerber file	gbr		CAD			
Gerber file	gbr		vector-graphics			
Gesture And Motion Signal format	gms		signal-data			
GHO	gho, ghs	Norton Ghost	archive, compression	binary		
Ghoul Mesh	glm		3d-graphics			
GIMP image	xcf	From Gimp's origin at the eXperimental Computing Facility of the University of California	raster-graphic, image			
GIMP Palette	gpl	Using a textual representation of color names and RGB values	raster-graphic, image	text		
GIMP palette file	gpl		color-palettes			
GNU recutils database	rec		database			
GNU Zip	gz, gzip	Compressed file	archive, compression	binary		
Gnumeric spreadsheet, a gziped XML file	gnumeric		spreadsheet			
Go source	go		code			
Google Drive Document	gdoc		document			
Google Drive Drawing	gdraw		desktop-publishing			
Google Drive Fusion Table	gtable		database			
Google Drive Presentation	gslides		presentation			
Google Drive Spreadsheet	gsheet		spreadsheet			
Google Sketchup Backup File	skb		archive, compression	binary		
Google Sketchup file	skp		3d-graphics			
GRAITEC Advance file format	gtc		CAD			
graph6	g6	ASCII encoding of Adjacency matrices	mathematics	text		
Graphical Analysis 3	ga3		web			
Graphics Interchange Format	gif		archive, compression	binary		
Graphics Interchange Format	gif	CompuServe's Graphics Interchange Format	raster-graphic, image			
Greenstreet Publisher, GST PressWorks	dtp		desktop-publishing			
Grid In Binary	grib	WMO format for weather model data	meteorology			
GSM	gsm	GSM Full Rate, originally developed for use in mobile phones	audio, music, sound, lossy			
GZip-compressed version of the above.	adz		video-game-storage-media			Amiga
Gzipped Tar	.tar.gz, .tgz	Gzipped tar file	archive, compression	binary		
Haansoft (Hancom) Hangul Word Processor document	hwp		document			
Haansoft (Hancom) Hangul Word Processor Markup Language document	hwpml		document			
Haansoft(Hancom) Presentation software document	show		presentation			
Haansoft(Hancom) SpreadSheet software document	cell		spreadsheet			
Harwell-Boeing file format		a format designed to store sparse matrices	mathematical			
Haskell source	hs		code			
Hawk's Dock configuration file	smes		cursors			
HDi playlist	xpl		playlists			
HE games File	he0, he2, he4		video-game-data			
Health Level 7	hl7	a framework for exchange, integration, sharing, and retrieval of health information electronically	biomedical			
Health Level 7 v3 annotated ECG.	hl7aecg		biomedical-signals			
Hierarchical Data Format	hdr, hdf, h4, h5		multi-domain			
High resolution, compressed Degas picture file	pc3		raster-graphic, image			
High resolution, uncompressed Degas picture file	pi3		raster-graphic, image			
HITRAN	hit	Spectroscopic data with one optical/infrared transition per line in the ASCII file	scientific-data-exchange	text		
HTML	html, htm	HyperText Markup Language	webpage, static			
HTML Application	hta		script			
hyper text markup language	html			text		
HyperText Markup Language	html, htm		document			
I-DEAS I-DEAS	unv	Integrated Design and Engineering Analysis Software	CAD			
IC Description language	cdl	Transistor-level netlist format for IC design	EDA			
Icarus script	ibi		script			
ICI	ici		script			
Icon	ico	A file format originally used for icons in Microsoft Windows. Contains small bitmap images at multiple resolutions and sizes.	raster-graphic, image			
Icons	icns	File format used for icons in Mac OS X. Contains bitmap images at multiple resolutions and bitdepths with alpha channel.	raster-graphic, image			
IDL	pro		code			
iHTML	ihtml	Inline HTML	webpage, dynamically generated			
ILBM	iff, ilbm, lbm		raster-graphic, image			
Image	img	For archiving MS-DOS formatted floppy disks, larger optical media and Hard Disk Drives.	physical, recordable media, archiving	binary		
Image-Line's Drumaxx drum kit file	dmkit		audio-editing, music-production			
ImageMagick's native file format	miff		raster-graphic, image			
Imagine	iob	3D modeling software	3d-graphics			
iMovie project file	imovieproj		video-editing			
Impulse Tracker module	it	Adding compressed samples, note-release actions, and more effects including a resonant filter	audio, music			
INF	inf	Similar file format to INI file; used to install device drivers under Windows, inter alia.	web			
INI file pointing to a URL bookmarks/Internet shortcut in Microsoft Windows	url		links-and-shortcuts			
Init File	ini	Configuration file whose format is substantially similar between applications		text		
Initial Graphics Exchange Specification	iges		CAD			
Installation File	cia		video-game-storage-media			
intelliRock Sensor Data File Format	irock		signal-data			
Interactive Financial Exchange	ifx	XML-based specification for various forms of financial transactions	financial-data-transfer			
Intergraph is a monochrome bitmap format	cit		raster-graphic, image			
Intergraph's Intergraph Standard File Formats			CAD			
Intersystems Caché database file	dat		database			
iPod Game	ipg	Format in which Apple Inc. packages their iPod games. can be extracted through Winrar	archive, compression	binary		
IPython Notebook	ipynb		script			
IronCAD 2D CAD file	icd		CAD			
ISO	iso	The generic file format for most optical media, including CD-ROM, DVD-ROM, Blu-ray Disc, HD DVD and UMD.	physical, recordable media, archiving	binary		
ISO 12234-2	tif, tiff	Tends to be used as a basis for other formats rather than in its own right.	raster-graphic, image			
Itcl	itcl		script			
Item File	itm		video-game-data			Diablo Engine
J script	ijs		script			
JAM Message Base Format 	jam	Message Base Format for BBSes	web			
Jam music format	jam		audio, music			
Java Archive	jar	ZIP file with manifest for use with Java applications.	archive, compression	binary		
Java Archive	jar	Archives of Java class files	executable-files			
Java Class File	class		executable-files			
Java enterprise application archive	ear		executable-files			
Java Network Launching Protocol	jnlp	An XML file used by Java Web Start for starting Java applets over the Internet	links-and-shortcuts			
Java Server Pages	jsp		webpage, dynamically generated			
Java source	java		code			
JavaScript	js		script			
JavsScript Object Notation	json	An openly used data file format used by many languages. Subset of YAML		text		
JEDMICS image files	c4	A DOD system	archive, compression	binary		
JEDMICS image files	cals	A DOD system	archive, compression	binary		
Jnes Save States	jst		video-game-storage-media			
Joint Committee on Atomic and Molecular Physical Data	jcamp, dx, jdx		chemistry			
Joint Photographic Experts Group	jpg, jpeg, jfif	Lossy image format widely used to display photographic images.	raster-graphic, image			
JPEG Stereo	jps		raster-graphic, image			
JPEG2000	jp2		raster-graphic, image			
JScript                      	js		script			
JSON-LD	jsonld	A JSON-based Serialization for Linked Data	markup-language			
Jupiter Tesselation	jt	Visualization format	CAD			
KatzReview's MegaCrammer	kmc	Tests made with MegaCrammer	web			
Kdenlive project file	kdenlive		video-editing			
KeePass 1 database	kdb		password-files			
KeePass 2 database	kdbx		password-files			
KernelCAD model	glm		CAD			
Kexi Database Connection Shortcut	kexic	Shortcut to a database connection for a Kexi databases on a server	database			
Kexi database file	kexi	SQLite-based	database			
Kexi Database Shortcut	kexis	Shortcut to a Kexi database	database			
Keyhole Markup Language	kml, xml		gis			
Krasbit Technologies Encrypted database file	chml	For 1 click integration between contact management software and the chameleon(tm) line of imaging workflow solutions	database			
Lasso	las, lasso, lassoapp	A file created or served with the Lasso Programming Language	webpage, dynamically generated			
Lawrence Compiler Type file	lawrence, lbr		archive, compression	binary		
LBR Library file 	lqr	Compressed by the SQ program.	archive, compression	binary		
Legacy 3D Studio Model	3ds		3d-graphics			
Lempel, Ziv, Huffman	lzh	Lempel, Ziv, Huffman	archive, compression	binary		
Levels	bol		video-game-data			Poing!PC
lex source	l		code			
Library Exchange Format, physical abstract of cells for IC design	lef		EDA			
Library file	lbr		archive, compression	binary		
Library modeling (function, timing) format	lib		EDA			
LibreOffice Base or OpenOffice Base database	odb		database			
Lightwave Object	lwo		3d-graphics			
Lightwave Scene	lws		3d-graphics			
LilyPond Notation file	ly		audio, music			GNU LilyPond
Linear Reference System.	cag		gio			
Lip-synch for character animations.	lip	Created from WAV files to create in-game accurate lip-synch for character animations.	video-game-data			Real Virtuality Engine, Flashpoint, ARMA 2, VBS2
Logfiles	log	Usually text, but sometimes binary		text		
Logic Pro X project file	logic		audio-editing, music-production			
Logix-4D Manager Show Control Project	slp		presentation			
Logtalk source	lgt		code			
Lossless Audio	la		audio, music, sound, lossless, compressed			
Lostus Ami Pro	ami		document			
Lotus 1-2-3	123		spreadsheet			
Lotus 1-2-3	wks		spreadsheet			
Lotus 1-2-3 up to version 2.01	wk1		spreadsheet			
Lotus 1-2-3 version 3.0	wk3		spreadsheet			
Lotus 1-2-3 version 4.0	wk4		spreadsheet			
Lotus Approach data entry & reports	apr		database			
Lotus Freelance Graphics	prz		presentation			
Lotus Notes configuration file	ncf		database			
Lotus Notes database	nsf		database			
Lotus Notes database design template	ntf		database			
Lotus Notes Post Office mail routing database	box		database			
Lotus Organizer PIM package	org		personal-information-manager			
Lotus Word Pro	lwp		document			
Low resolution, compressed Degas picture file	pc1		raster-graphic, image			
Low resolution, uncompressed Degas picture file	pi1		raster-graphic, image			
LPAC	pac		audio, music, sound, lossless, compressed			
LSMaker script file	lsm	Program using layered .jpg to create special effects; specifically designed to render lightsabers from the Star Wars universe	web			
Lua	lua		script			
Luxology Modo file	lxo	Luxology Modo (software) file	3d-graphics			
lzip	lz	Compressed file	archive, compression	binary		
lzma	lzma		archive, compression	binary		
lzo	lzo		archive, compression	binary		
LZX algorithm	lzx		archive, compression	binary		
M3U	m3u		playlists			
m4 source	m4		code			
M4V	m4v	File format for videos for iPods and PlayStation Portables developed by Apple	video			
MacBinary	bin		archive, compression	binary		
Mach-O	o, dylib, bundle	No suffix for executable image, .o for object files, .dylib and .bundle for shared object files. Mach based systems, notably native format of Mac OS X.	executable-files			
Macintosh disk image	dmg	 files	physical, recordable media, archiving	binary		
Macintosh plugin	bundle	A Macintosh plugin created with Xcode or make which holds executable code, data files, and folders for that code.	executable-files			
Macromedia Flash	fla	For producing	video			
Macromedia Flash	swf	For viewing	video			
Macromedia Shockwave Audio	swa	Same compression as MP3 with additional header information specific to Macromedia Director	audio, music, sound, lossy			
MadTracker 2 module	mt2	It could be resumed as being XM and IT combined with more features like track effects and automation.	audio, music			
MAF	maff	web archive based on ZIP	webpage, static			
MAGIX Music Maker project file	mmr		audio-editing, music-production			
Map	map	Usually constructed with BUILD.EXE	video-game-data			Duke Nukem 3D Engine
Map format	umx		video-game-data			Unreal Engine, Unreal Tournament
Map format	ut2		video-game-data			Unreal Engine, Unreal Tournament 2003, Unreal Tournament 2004
Map format	ut3		video-game-data			Unreal Engine, Unreal Tournament 3
Map format for Unreal	unr		video-game-data			Unreal Engine
MapInfo Table file format	tab		gis			
Markdown	md, markdown	Markdown text document	document			
Markdown	markdown, md	A light-weight, plain-text, easy to read and write markup language.	markup-language			
Material Exchange Format	mxf	Standardized wrapper format for audio/visual material developed by SMPTE	video			
Mathematica	m		code			
Mathematica Notebook	nb		document			
Mathematica package file	m		script			
Mathematica Player Notebook	nbp		document			
Mathematica Player slideshow	nbp		presentation			
Mathematica Slideshow	nb		presentation			
MathML	mml	Mathematical Markup Language	mathematical			
MATLAB	m		code			
Matroska	mkv	Matroska is a container format, which enables any video format such as MPEG-4 ASP or AVC to be used along with other content such as subtitles and detailed meta information	video			
Max OS App Container	app	A folder found on Mac OS X systems containing program code and resources, appearing as a single file.	executable-files			
MBRWizard archive	mbw		archive, compression	binary		
Mc.META files 	mc.meta	Used in Minecraft Resource Packs	archive, compression	binary		
MDS	mds	DAEMON tools native disc image file format used for making images from optical CD-ROM, DVD-ROM, HD DVD or Blu-ray Disc. It comes together with MDF file and can be mounted with DAEMON Tools.	physical, recordable media, archiving	binary		
MDX	mdx	New DAEMON Tools file format that allows to get one MDX disc image file instead of two (MDF and MDS).	physical, recordable media, archiving	binary		
MediaForge	wrap		video			
Medical Imaging NetCDF format	minc, mnc	Previously based on NetCDF; since version 2.0, based on HDF5	biomedical-imaging			
Medical waveform Format Encoding Rules	mfer		biomedical-signals			
Medical waveform Format Encoding Rules	mfer		signal-data			
Medium resolution, compressed Degas picture file	pc2		raster-graphic, image			
Medium resolution, uncompressed Degas picture file. Also Portrait Innovations encrypted image format.	pi2		raster-graphic, image			
Mega Drive/Sega Genesis	smd,bin		video-game-storage-media			
Melody Modules	mod	Also Soundtracker and Protracker sample	audio, music			
Menu parts.	controleffectmaster.gbx, controlstyle.gbx		video-game-data, trackmania			TrackMania
Meshwork Model	mesh		3d-graphics			
Metalink	metalink, met	A file format for listing metadata about downloads, such as mirrors, checksums, and other information.	markup-language			
MHTML	mht, mhtml	Archived HTML, store all data on one web page (text, images, etc.) in one big file	webpage, static			
MicroGrafx Font	mgf		font			
Microsoft 3D Manufacturing Format	3mf	Microsoft 3D Manufacturing Format	CAD			
Microsoft 3D Manufacturing Format	3mf		3d-graphics			
Microsoft Access database	mdb		database			
Microsoft Access project	adp	Used for accessing databases on a server	database			
Microsoft Access Report Snapshot	snp		page-description-language			
Microsoft Cabinet	cab		archive, compression	binary		
Microsoft Database	accdb	Microsoft Office Access 2007 and later	database			
Microsoft Excel binary workbook	xlsb		spreadsheet			
Microsoft Excel Macro-enabled workbook	xlsm		spreadsheet			
Microsoft Excel Macro-enabled worksheet template	xltm		spreadsheet			
Microsoft Excel worksheet backup	xlk		spreadsheet			
Microsoft Excel worksheet sheet (97–2003)	xls		spreadsheet			
Microsoft Excel worksheet template	xlt		spreadsheet			
Microsoft Excel worksheet workspace (version 4.0)	xlw		spreadsheet			
Microsoft Outlook email communication	pst, ost		personal-information-manager			
Microsoft Outlook task manager	msg		personal-information-manager			
Microsoft palette file	pal		color-palettes			
Microsoft PowerPoint Presentation	ppt		presentation			
Microsoft PowerPoint Show	pps		presentation			
Microsoft PowerPoint template	pot		presentation			
Microsoft PowerPoint theme template	thmx		presentation			
Microsoft Project	mpp		project-management-software			
Microsoft Publisher	pub		desktop-publishing			
Microsoft Schedule+ calendar	sc2		personal-information-manager			
Microsoft SQL Server Database	mdf		database			
Microsoft Wave	wav		audio, music, sound, lossless, uncompressed			
Microsoft Windows Bitmap formatted image	bmp		raster-graphic, image			
Microsoft Word document	doc		document			
Microsoft Word document template	dot		document			
Microsoft Word for Macintosh	mcw	versions 4.0–5.1	document			
Microsoft Word macro-enabled document	docm		document			
Microsoft Works	wks		spreadsheet			
Microsoft Works Database	wdb		database			
Microsoft Works document	wps		document			
Microsoft Works document template	wpt		document			
Microsoft Works version 6.0	xlr		spreadsheet			
Microsoft Write document	wri		document			
MicroStation design file	dgn		CAD			
MIDI File	mid	Most often just notes and controls but occasionally also sample dumps	audio, music			
MIDI sequence file	sng	Also n-Track Studio project file	audio-editing, music-production			MidiSoft, Korg
Mind Manager mind map file.	mmp		gio			
MindGenius Mind Mapping Software file format.	mgmf		gio			
mIRC Script	mrc		script			
Misfit Model 3d	mm3d		3d-graphics			
Mission files	sqm		video-game-data			Real Virtuality Engine, Flashpoint, ARMA 2, VBS2
MNG using JPEG compression	jng	A single-frame MNG using JPEG compression and possibly an alpha channel.	raster-graphic, image			
Mobipocket Document	mobi		document			
Mobipocket Metadata	mbp	Metadata for Mobipocket documents	document			
Model for an item used in the game	mdl, md2, md3, md5		video-game-data			Quake Engine
Monkey's Audio	ape		audio, music, sound, lossless, compressed			
Monu-CAD	mcd	Monument/Headstone Drawing file	CAD			
MOVIE.BYU	movie.byu		vector-graphics			
MP1	mp1		audio, music			UltraPlayer
MPEG	mpeg, mpg, mpe		video			
MPEG 1 Video	m1v, mpeg-1		video			
MPEG 2 Video	m2v, mpeg-2		video			
MPEG Layer 2	mp2		audio, music, sound, lossy			
MPEG Layer 3	mp3		audio, music, sound, lossy			
MPEG-4 Part 14	mp4	Most often used for Sony's PlayStation Portable and Apple's iPod	video			
Mplayer playlist	txt		playlists			
MPQ Archives	mpq	Used by Blizzard games	archive, compression	binary		
MS Word AutoCorrect List	acl		document			
MSN webcam log file	cam		video			
Multi-Picture Object	mpo	This JPEG standard is used for 3d images, as with the Nintendo 3DS	3d-graphics			
Multipart PSF	minipsf, psflib		audio, music			
Multiple Network Graphics, the animated version of PNG	mng		raster-graphic, image			
Musepack	mpc		audio, music, sound, lossy			
Musescore compressed file	mscz		audio, music			
Musescore uncompressed file	msc		audio, music			
Music file (usually contained within a WAD file)	mus		video-game-data			DOOM
Music format	umx		video-game-data			Unreal Engine, Unreal Engine 1
MusicXML	mxl, xml		audio, music			
My Heritage Family Tree	zed		web			
MYOB Limited (Mac) File	myob		financial-records			
MYOB Limited (Windows) File	myo		financial-records			
MySQL MyISAM table data	myd		database			
MySQL MyISAM table index	myi		database			
MySQL table definition	frm		database			
NASA-Ames	nasa-ames	Simple text format for observation data. First used in aircraft studies of the atmosphere.	meteorology	text		
National Center for Biotechnology Information Structured ASN.1 format	ncbi asn.1	Structured ASN.1 format used at National Center for Biotechnology Information for DNA and protein data	biology, molecular-biology			
National Transfer Format file	ntf		gis			
Navision database file	fdb		database			
Nemerle source	n		code			
Neo Geo Pocket	npc		video-game-storage-media			
NES Sound Format	nsf	Bytecode program to play NES music	audio, music			
NetWare Command File	ncf	Scripting for Novell's NetWare OS)	script			
NetWare Loadable Module	nlm	The native 32-bit binaries compiled for Novell's NetWare Operating System (versions 3 and newer)	executable-files			
Network common data format	netcdf		multi-domain			
Neuroimaging Informatics Technology Initiative	nifti		biomedical-imaging			
Neuroimaging Informatics Technology Initiative Compressed	nii.gz	Gzip-compressed, used transparently by some software, notably the FMRIB Software Library (FSL)	biomedical-imaging			
Neuroimaging Informatics Technology Initiative Dual File	.img,.hdr	Dual-file (separate data and meta-data, respectively) style	biomedical-imaging			
Neuroimaging Informatics Technology Initiative for Brain Surface Data	gii	Single-file (combined data and meta-data) style. NIfTI offspring for brain surface data	biomedical-imaging			
Neuroimaging Informatics Technology Initiative Single File	nii	Single-file (combined data and meta-data) style	biomedical-imaging			
Nevercenter Silo Object	sia		3d-graphics			
Nevercenter Silo Object	sib		3d-graphics			
New Executable	exe	Used in multitasking ("European") MS-DOS 4.0, 16-bit Microsoft Windows, and OS/2	executable-files			
New York University	mesh, m		3d-graphics			
Newick tree format	nwk	The Newick tree format is a way of representing graph-theoretical trees with edge lengths using parentheses and commas and useful to hold phylogenetic trees.	biology, molecular-biology			
NeXML	nexml, xml	XML format for phylogenetic trees	biology, molecular-biology			
Nexus file	nexus	The Nexus file encodes mixed information about genetic sequence data in a block structured format.	biology, molecular-biology			
NI Multisim file	ms12		EDA			
Nintendo 3DS	3ds		video-game-storage-media			
Nintendo 64	n64, v64, z64, u64, usa, jap, pal, eur, bin		video-game-storage-media			
Nintendo DS	nds		video-game-storage-media			
Nintendo Entertainment System	nes		video-game-storage-media			
Nokia Theme	nth	Nokia Theme Used by Nokia Series 40 Cellphones	archive, compression	binary		
Notation Interchange File Format	niff		audio, music			
NRG	nrg	The proprietary optical media archive format used by Nero applications.	physical, recordable media, archiving	binary		
Nuclear Basic source	nb		code			
Nullsoft Streaming Video	nsv	Media container designed for streaming video content over the Internet	video			
NX, Pro/ENGINEER Part, CADKEY Part	prt	NX is also recently known as Unigraphics	CAD			
Object Control extensions	ocx		object-extensions			
Object File	o	Unlinked object file directly from the compiler.	executable-files			
Objective C native static library	a		executable-files			
Objective-C source	m		code			
OFF Object file format	off		3d-graphics			
Office Open XML document	docx		document			
Office Open XML Presentation	pptx		presentation			
Office Open XML text document template	dotx		document			
Office Open XML worksheet sheet	xlsx		spreadsheet			
Ogg Container Format	ogg		video, container, multimedia			
OmmWriter text document	omm		document			
OPDOWNLOAD	opdownload	Partially completed downloads in Opera	partial-file, incomplete-transfer			Opera
Open Artwork System Interchange Standard	oasis		EDA			
Open CASCADE 3D model (shape)	brep		CAD			
Open Educational Resource	oer		web			
Open Exchange Data Format	openxdf	From Neurotronics, Inc. Gainesville, FL, USA.	biomedical-signals			
Open Financial Exchange	ofx	open standard supported by CheckFree and Microsoft and partially by Intuit; SGML and later XML based	financial-data-transfer			
Open Game Engine Exchange (OpenGEX) format	ogex		3d-graphics			
Open Media Framework Interchange	omfi	OMFI succeeds OMF (Open Media Framework)	audio-editing, music-production			
Open Spatio-Temporal	ost	Extensible, mainly images with related data, or just pure data; meant as an open alternative for microscope images	scientific-data-exchange			
Open XML Paper Specification	xps, xml		document			
Open XML Paper Specification	xps		page-description-language		https://en.wikipedia.org/wiki/Open_XML_Paper_Specification	
OpenCTM	ctm		3d-graphics			
OpenDocument Drawing	odg		vector-graphics			
OpenDocument master document	odm		document			
OpenDocument Math Formula	odf		mathematical			
OpenDocument Presentation	odp		presentation			
OpenDocument Presentation template	otp		presentation			
OpenDocument spreadsheet	ods		spreadsheet			
OpenDocument spreadsheet template	ots		spreadsheet			
OpenDocument text document	odt		document			
OpenDocument text document template	ott		document			
OpenNURBS Initiative 3D Model	3dm	Used by Rhinoceros 3D	3d-graphics			
OpenOffice.org XML (obsolete) Math Formula	sxm		mathematical			
OpenOffice.org XML (obsolete) Presentation	sxi		presentation			
OpenOffice.org XML (obsolete) Presentation template	sti		presentation			
OpenOffice.org XML Drawing	sxd, xml	obsolete	scene-description-language			
OpenOffice.org XML Spreadsheet	sxc	Obsolete	spreadsheet			
OpenOffice.org XML Spreadsheet template	stc	Obsolete	spreadsheet			
OpenOffice.org XML text document	sxw, xml	obsolete	document			
OpenOffice.org XML text document template	stw, xml	obsolete	document			
OpenPGP Message Format		Used by Pretty Good Privacy, GNU Privacy Guard, and other OpenPGP software. Can contain keys, signed data, or encrypted data. Can be binary or text ("ASCII armored")	security	binary, text		
OpenSCAD 3D part model	scad		CAD			
OpenSSH private key	 ssh	Secure Shell private key; format generated by ssh-keygen or converted from PPK with PuTTYgen	security			
OpenSSH public key	pub	Secure Shell public key; format generated by ssh-keygen or PuTTYgen	security			
OpenType Font	otf		font			
OptimFROG	ofr, ofs, off		audio, music, sound, lossless, compressed			
Oracle tablespace files sometimes get this extension (also used for configuration files)	ora		database			
Orienteering Computer Aided Design file	ocd, ocad		CAD			
Osu! compressed beatmap archive	osz		archive, compression	binary		
Other TrackMania items.	gbx		video-game-data, trackmania			TrackMania
OtsLabs Audio File	ots	Similar to MP3, with more data stored in the file and slightly better compression. Designed for use with OtsLabs' OtsAV.	audio, music, sound, lossy			
Over The Air Bitmap	otb	A specification designed by Nokia for black and white images for mobile phones	raster-graphic, image			
Package	dbpf		video-game-data			The Sims 2
Package format for cooked content	upk		video-game-data			Unreal Engine, Unreal Engine 3
Paint Shop Pro image	psp		raster-graphic, image			
Paint.NET image file	pdn		raster-graphic, image			
Palm OS Database	pdb		database			
Palm OS resource database	prc		database			
Panda3d	p3d	by Disney	video-game-data			Panda3d
Panda3D Engine	egg		3d-graphics			
Papyrus word processor document	pap		document			
Paradox	db		database			
Parasolids	x_t		CAD			
Parasolids binary format	x_b		CAD			
Parchive	par, par2		archive, compression	binary		
Parser source	p		code			
PART	part	partially completed downloads in Mozilla Firefox	partial-file, incomplete-transfer			Mozilla Firefox
Pascal source (DPR for projects)	pas, pp, p		code			
PCL	pcl		page-description-language			
Perl	pl		script			
Perl	pl, pm		code			
Perl	pl		webpage, dynamically generated			
Perl module	pm		script			
Photo Editing Plugins	8bf	Plugins for some photo editing programs including Adobe Photoshop, Paint Shop Pro, GIMP and Helicon Filter.	executable-files			
PHP	php, php5, php6, php7		script			
PHP Hypertext Preprocessor	php, php4, php5, php6, php7, phtml	Previously abbreviated Personal Home Page	webpage, dynamically generated			
PHP source	php, php3, php4, php5, phps, phtml		code			
Phred Data	phd	Output from the basecalling software Phred	biology, molecular-biology			
PICAXE basic	bas		code			
