format	extensions	description	tags	encoding	links	apps
PIF	pif	Used for running MS-DOS programs under Windows	web			
PIPE-FLO Professional Piping system design file	pipe		CAD			
Pivot stickfigure animator	piv		code			
Pixar Image Computer image file	pxr		raster-graphic, image			
Pixel Coordination Format	pcf		raster-graphic, image			
Pixel image editor image file	px		raster-graphic, image			
Pixelmator image file	pxm		raster-graphic, image			
PK3, PK4	pk3, pk4	Store game data, textures etc. Actually just ZIP files.	video-game-data			Quake Engine, Quake 2, Quake 3 Arena, Quake 4
PKZIP archive	xpi	Can be run by Mozilla web browsers to install software	executable-files			
Plain text	asc, txt	human-readable plain text, usually no more specific		text		
PLD	pld		page-description-language			
PLS	pls		playlists			
PNG Stereo	pns		raster-graphic, image			
POD	pod		video-game-data			Terminal Reality
Polygon File Format	ply	Also called Stanford Triangle Format	3d-graphics			
Portable anymap graphic bitmap image	pnm		raster-graphic, image			
Portable Application File	paf		archive, compression	binary		
Portable bitmap	pbm		raster-graphic, image			
Portable Compiled Font	pcf		font			
Portable Database Image	pdi		database			
Portable Document Archive (PDA) document index file	pdax		document			
Portable Document Format	pdf		document			
Portable Document Format	pdf		page-description-language			
Portable Executable	exe	Used in Microsoft Windows and some other systems	executable-files			
Portable graymap	pgm		raster-graphic, image			
Portable Network Graphic	png	Lossless, recommended for display and edition of graphic images	raster-graphic, image			
Portable Pixmap (Pixel Map) image	ppm		raster-graphic, image			
Portable Sound Format	psf	PlayStation variant (originally PlayStation Sound Format)	audio, music			
Portable Sound Format for other platforms then PlayStation	2sf, dsf, gsf, psf2, qsf, ssf, usf		audio, music			
Portable SPSS files	por	Readable by PSPP	web			
Post Processing Format	pp	UK Met Office format for weather model data	meteorology			
PostScript	ps, ps.gz		page-description-language			
POV-Ray document	pov		3d-graphics			
Power Tab Editor tab	ptb		audio, music			
Power-domain specification in SoC implementation	cpf	See also UPF	EDA			
PowerINSPECT File	pwi		CAD			
PowerISO format	daa		physical, recordable media, archiving	binary		
PowerSHAPE Model	psmodel		CAD			
Preferred Executable Format		Mac OS versions 9 and earlier. Compatible with Mac OS X via the Classic emulator).	executable-files			
Prezi Desktop Presentation	pez		presentation			
Printer Font ASCII	pfa		font	text		Adobe
Printer Font Binary	pfb	Adobe	font	binary		Adobe
Printer Font Metrics	pfm	Adobe	font			Adobe
Privacy-enhanced Electronic Mail	pem	Full format not widely used, but often used to store Distinguished Encoding Rules in Base64 format	security			
Project 64 Save States	pj		video-game-storage-media			
Project DIVA timings	diva	Element coordinates, MP3 references, notes, animation poses and scores.	video-game-data			
Protein Data Bank	pdb	Structures of biomolecules deposited in Protein Data Bank. Also used for exchanging protein/nucleic acid structures.	biology, molecular-biology			
Pseudo-pipeline file		Used to simulate a software pipe	temporary			
PSF	psf		audio, music			
PTC Creo assembly	asm		3d-graphics			
PTC Creo part	prt		3d-graphics			
Public-Key Cryptography Standards 12	p12, pfx	Can store public certificates and private keys	security			
Public-Key Cryptography Standards 7 SignedData	p7b, p7c	Commonly appears without main data, just certificates or certificate revokation lists (CRLs)	security			
Public-Key Exchange	pfx	Microsoft predecessor of PKCS#12	security			
PuTTY private key	ppk	Secure Shell private key in the file format generated by PuTTYgen instead of the format used by OpenSSH	security			
PYK	pyk	Compressed File	archive, compression	binary		
Pythagoras File	pyt		CAD			
Python	py		script			
Python	pyo		script			
Python byte code files	pyc		script			
Python source	py		code			
QBasic & QuickBASIC	bas		script			
QCOW2	qcow	QEMU copy-on-write	virtual-machine, qemu			
QED		QEMU enhanced disk format	virtual-machine, qemu			
QEMU copy-on-write Qcow	qcow		virtual-machine, qemu			
QFX		proprietary pay-only file format used only by Intuit	financial-data-transfer			
Quake 2 model format	md2		3d-graphics			
Quake 3 archive	pk3	See note on Doom	archive, compression	binary		
Quake 3 model format	md3		3d-graphics			
QuarkXPress	qxd		desktop-publishing			
Quattro Pro DOS version	wq1		spreadsheet			
Quattro Pro spreadsheet	qpw		spreadsheet			
Question Object File Format	quox		document			Quobject Designer, Quobject Explorer
QuickDraw 3D Metafile	3dmf		3d-graphics			
Quicken Interchange Format	qif	open standard formerly supported by Intuit	financial-data-transfer			
QuickLink Fax image	qfx		raster-graphic, image			
QuickTime Movie Format	mov	container which enables any form of compression to be used; Sorenson codec is the most common; QTCH is the filetype for cached video and audio streams	video			QuickTime
QW Page NewViews object oriented accounting database	nv2		database			
R	r	Real Native Application File (short alternative)	webpage, dynamically generated			
R scripts	r		script			
R source	r		code			
Racket source	rkt, rktl		code			
Radix-64	radix-64		document			
RAGS game file	rag, rags	A game playable in the RAGS game-engine, a free program which both allows people to create games, and play games, games created have the file format 'RAG game file'	archive, compression	binary		
RAR Rar Archive	rar	For multiple file archive (rar to .r01-.r99 to s01 and so on)	archive, compression	binary		
Raw Data	raw			binary		
Raw data file	dat	For Comtrade data	signal-data			
Raw map format used by editors like GtkRadiant or QuArK	map		video-game-data			Quake Engine
Raw Samples	raw	Raw samples without any header or sync	audio, music, sound, lossless, uncompressed			
RDP connection	rdp		script			
Reagency Systems easyOFFER document	ezw		document			
Real Audio Metafile	ram	For RealAudio files only	playlists			RealAudio
RealAudio	ra, rm		audio, music, sound, lossy			
RealJukebox Media	rmj		audio, music			RealPlayer
RealMedia	rm		video			
Realsoft 3D (Real-3D)	r3d		3d-graphics			
Recorded television format	dvr-ms	On Windows XP Media Center Edition	audio, music			Windows Media Center
Recorded television format	wtv	From Windows Vista on	audio, music			Windows Media Center
Recorded television format	wtv	From Windows Vista on.	video			Windows Media Center
Red Hat package/installer	rpm	For Fedora, RHEL, and similar systems.	archive, compression	binary		
Red source	red		code			
Red/System source	reds		code			
Reflection seismology data format	seg y		signal-data			
RenderMan	renderman		vector-graphics			
RenderWare binary stream	dff	Commonly used by Grand Theft Auto III-era games as well as other RenderWare titles	3d-graphics			
RenderWare Object	rwx		3d-graphics			
Replays of races.	replay.gbx		video-game-data, trackmania			TrackMania
Research Information Systems RIS (file format)	ris		bibliographic-information			
Resource file for .NET applications	resx		code			
Resource script files to generate resources for .NET applications	rc, rc2		code			
Revizto visual information model format	vim		3d-graphics			
Revoware VIA Document Project File	via		document			
Rich Text document	rtf		document			
RISE generated information	rise	File containing RISE generated information model evolution	web			
RKAU	rka		audio, music, sound, lossless, compressed			
RNA	rna	Real Native Application File	webpage, dynamically generated			
RNX	rnx	Real Native Application File (using experimental version 6 of RNA/Karbon Language)	webpage, dynamically generated			
ROQ	roq		video			Quake 3
Roxio / WinOnCD format	c2d		physical, recordable media, archiving	binary		
RSS	rss, xml	Syndication file format	markup-language			
Ruby	rb		script			
Ruby source	rb		code			
S-Record	srec, s19	ASCII-coded format for memory dumps	EDA			
S1ES learning system Executable	s1es	Executable used for S1ES learning system.	executable-files			
Sage Retrieve 4GL Common Area (Main and Amended backup)	skb, skc		code			
Sage Retrieve 4GL data file	rel		database			
Sage Retrieve 4GL Database	skd		code			
Sage Retrieve 4GL File Layouts (Main and Amended backup)	skf, skg		code			
Sage Retrieve 4GL index file	rin		database			
Sage Retrieve 4GL Instructions	ski		code			
Sage Retrieve 4GL Menu	skm		code			
Sage Retrieve 4GL Print Layouts (Main and Amended backup)	skp, skq		code			
Sage Retrieve 4GL Program	sko		code			
Sage Retrieve 4GL Report Generator	skk		code			
Sage Retrieve 4GL Screen Layouts (Main and Amended backup)	sks, skt		code			
Sage Retrieve 4GL Security File	skz		code			
SAMI Caption file	smi	HTML like subtitle for movie files	video			
Samsung video format	svi	For portable players	video			
Save game	dmo		video-game-data			Duke Nukem 3D Engine
Save Game	sv		video-game-data			Diablo Engine
Saved demo recording	lmp		video-game-data			DOOM
Saved game	dsg		video-game-data			DOOM
Saved game files	b		video-game-data			Grand Theft Auto
Saved game.	fidcache.gbx		video-game-data, trackmania			TrackMania
Savegame format	sav		video-game-data			
Scala source	scala		code			
Scalable Vector Graphics, employs XML	svg		vector-graphics			
ScanSoft PaperPort document	max		raster-graphic, image			
Scattering parameter data file	s*p	Touchstone/EEsof Scattering parameter data file multi-port blackbox performance, measurement or simulated	EDA			
Scenario replays	rep		video-game-data			StarCraft
Scene data storage	oec		video-game-data			OE-Cake
Scheme source	scm		code			
Scifer Archive, Scifer External Archive Type	ba		archive, compression	binary		
Scilab	sci, sce		code			
Scitex Continuous Tone image file	sct		raster-graphic, image			
Scream Tracker 3 module	s3m	With a few more effects and a dedicated volume column	audio, music			
Scribus	sla, scd		desktop-publishing			
Seed7 source	sd7		code			
Sega Game Gear	gg		video-game-storage-media			
Sega Genesis YM2612 Log File	gym		audio, music			
Sega Master System	sms		video-game-storage-media			
SEN Scifer Archive	sen	Scifer Internal Archive Type	archive, compression	binary		
Sequence Alignment/Map format	sam	Sequence Alignment/Map format, in which the results of the 1000 Genomes Project are released.	biology, molecular-biology			
Sequence assembly format	ace		biology, molecular-biology			
Serif PagePlus	ppp		desktop-publishing			
Server Normal Format	snf		font			
Shared library	so	Typically used for ELF	executable-files			
Shell script	sh		script			
Short Read Archive	sra	Format used by the National Center for Biotechnology Information to store high-throughput DNA sequence data	biology, molecular-biology			
Shorten	shn		audio, music, sound, lossless, compressed			
Shuttle	se	Lightweight markup language	markup-language			
Shuttle Document	se		document			
Sibelius Notation File	sib		audio, music			Sibelius
SIGnal Interchange Format	sigif		signal-data			
Signed Differential Mapping	sdm	Brain maps and distributions	biomedical-imaging			
Silicon Graphics Image	sgi, rgb, int, bw		raster-graphic, image			
Simple Data Format	sdf	A platform-independent, precision-preserving binary data I/O format capable of handling large, multi-dimensional arrays.	scientific-data-exchange			
Simplified molecular input line entry specification	smiles, smi		chemistry			
SketchUp file	skp		web			
SketchUp Model	skp		CAD			
Skyscraper Simulator Building	bld		archive, compression	binary		
Snapshots of the emulator RAM	z80, sna		video-game-storage-media			ZX Spectrum
Snes9X Save States	frz, 000-008		video-game-storage-media			
Softimage's dotXSI	dotxsi		CAD			
Solidedge Assembly, Pro/ENGINEER Assembly	asm		CAD			
Solidedge Draft	dft		CAD			
Solidedge Part	par		CAD			
Solidedge Sheet	psm		CAD			
SolidWorks 2D drawing	slddrw		CAD			
SolidWorks 3D part model	sldprt		CAD			
SolidWorks Assembly Document	sldasm		3d-graphics			
SolidWorks Assembly drawing	sldasm		CAD			
SolidWorks eDrawings assembly file	easm		CAD			
SolidWorks Enterprise PDM Vault File	cex		web			
SolidWorks Part Document	sldprt		3d-graphics			
SongShow Plus Slide Show	sspss		presentation			
Sony camera configuration file	suf	Setup.suf produced by XDCAM-EX camcorders	video-editing			
Sony Vegas project file	veg, veg-bak		video-editing			
Sony's UMD Data compression	at3		archive, compression	binary		
Sound Forge sound file	sfl		audio-editing, music-production			
Sound format	usx		video-game-data			Unreal Engine, Unreal Engine 1, Unreal Engine 2
Sound Interface Device	sid	Commodore 64 instructions to play SID music and sound effects	audio, music			
SpaceClaim 3D Part/Assembly	scdoc		CAD			
sparse6	s6	ASCII encoding of Adjacency matrices	mathematics	text		
Spectroscopic data	spc		scientific-data-exchange			
Speex	spx	Ogg project, specialized for voice, low bitrates	audio, music, sound, lossy			
SPICE Netlist, device-level netlist and commands for simulation	spi, cir		EDA			
Spin source (for Parallax Propeller microcontrollers)	spin		code			
Spirit file, by Softtech	s12		CAD			
SQ compressed files	?q?	files compressed by the SQ program	archive, compression	binary		
SQL Compact Database file	sdf		database			
SQLite	db		database			
Squirrel	nut		script			
SSI	shtml	HTML with Server Side Includes (Apache)	webpage, dynamically generated			
SSI	stm	HTML with Server Side Includes (Apache)	webpage, dynamically generated			
Staden chromatogram files	scf	Used to store data from DNA sequencing	biology, molecular-biology			
Standard Communication Protocol	scp-ecg	For Computer assisted electrocardiography	signal-data			
Standard Communication Protocol for Computer assisted electrocardiography	scp-ecg	 EN1064:2007	biomedical-signals			
Standard Flowgram Format	sff		biology, molecular-biology			
Standard for gate-level timings	sdf		EDA			
Standard for Power-domain specification in SoC implementation	upf		EDA			
Standard for the Exchange of Product model data	step		CAD			
Standard format for digital simulation waveform	vcd		EDA			
Standard format for parasitics of interconnections in IC design	spef		EDA			
Standard ML / OCaml source	ml		code			
Standard Test Data Format	stdf	Proprietary file format for semiconductor test information originally developed by Teradyne, but it is now a de facto standard widely used throughout the semiconductor industry	test-technology			
Standard Test Interface Language	stil	IEEE1450-1999 standard for Test Patterns for IC	EDA			
StarOffice StarCalc Spreadsheet	sdc		spreadsheet			
StarOffice's StarBase	sdb		database			
StarOffice's StarImpress	sdd		presentation			
StarWriter text document	sdw	Used in earlier versions of StarOffice	document			
State Description Language	sdl		script			
Steinberg Cubase drum file	drm		audio-editing, music-production			
Steinberg Cubase project file	cpr		audio-editing, music-production			
Steinberg Nuendo project file	npr		audio-editing, music-production			
Stereo Lithographic data format	stl	Used by various CAD systems and stereo lithographic printing machines.	scene-description-language			
Stereo Lithographic data format, Standard Tesselation Language	stl	Used by various CAD systems and stereo lithographic printing machines.	CAD			
Stickfigure file for Pivot stickfigure animator	stk		code			
Stockholm format	stockholm	Representing multiple sequence alignments	biology, molecular-biology			
Storing program variables 	nbt	Storage along with their (Java) type identifiers	video-game-data			Minecraft
Structured Data	eas3	binary file format for structured data	scientific-data-exchange			
Structured Data Exchange Format	sdxf		multi-domain			
StudioFactory project file	stf	Contains all necessary patches, samples, tracks and settings to play the file	audio-editing, music-production			
StuffIt (Macintosh)	sit, sitx		archive, compression	binary		
Super Famicom	fig	Japanese releases are rarely .fig, above extensions are more common	video-game-storage-media			
Super NES	smc,078,sfc	.078 is for rare split ROMs	video-game-storage-media			
Super NES Saved Data Files	srm		video-game-storage-media			
Super Nintendo Entertainment System sound file format.	spc		audio, music			
SWF extracted scripts	flr	File which contains scripts extracted from SWF by a free ActionScript decompiler named FLARE	video	text		
SWIG interface file	i		code			
SWIG source code	swg		code			
Swiss-Prot database format	swiss-prot	The flatfile format used to represent database records for protein sequences from the Swiss-Prot database	biology, molecular-biology			
Sybase Advantage Database Server	adt, ads		database			
SYLK (SYmbolic LinK)	slk		spreadsheet			
SyMAT JavaScript	syjs		script			
SyMAT Python	sypy		script			
SynFactory project file	syn	Contains all necessary patches, samples, tracks and settings to play the file	audio-editing, music-production			
Synopsys Design Constraints, format for synthesis constraints	sdc		EDA			
System Deployment Image	sdi	Used for archiving and providing "virtual disk" functionality.	physical, recordable media, archiving	binary		
Systems Biology Markup Language	sbml	Used to store biochemical network computational models	biology, molecular-biology			
SystemVerilog source file	sv		EDA			
T-FLEX CAD File	grb		CAD			
tab delimited columns	tab	Also TSV (Tab-Separated Values)	spreadsheet			
Tab-separated values	tsv		tabulated-data			
tab-separated values	tsv			text		
Tabbery Virtual Desktop Tab file	tb		archive, compression	binary		
Tagged Image File Format	tif, tiff	usually lossless, but many variants exist, including lossy ones	raster-graphic, image			
Tape images including copy protection	tap		video-game-storage-media			Commodore 64
Tape images without copy protection	tap		video-game-storage-media			ZX Spectrum
Tape images without copy protection	t64	Considerably smaller than .tap files	video-game-storage-media			Commodore 64
Tar	tar	Group of files, packaged as one file	archive, compression	binary		
Tcl	tcl		script			
TCL source code	tcl		code			
Temporary database file	ldb	Only existing when database is open	database			
Temporary file	temp, tmp	Sometimes in a specific format, but often just raw data in the middle of processing	temporary			
TeX	tex		document			
TeX font metric	tfm		font			
Texinfo	info		document			
Text file	txt		document			
Text log file	log		document			
Text602 document	602		document			
Texture format	utx		video-game-data			Unreal Engine,  Unreal Engine 1, Unreal Engine 2
The FASTQ file format	fastq	Sequence data with quality. Sometimes also given as QUAL.	biology, molecular-biology			
The Genome Compiler project	gcproj	Advanced file format for genetic data to be designed, shared and visualized.	biology, molecular-biology			
The Only Sheet	tos	Character file from The Only Sheet	web			
TheDraw Font	tdf		font			
ThinkFree Calc	clf		spreadsheet			
ThinkFree Show	shf		presentation			
ThinkFree Write	wrf		document			
Tom's Lossless Audio Kompressor	tak		audio, music, sound, lossless, compressed			
TomTom POI overlay file	ov2		gis			
TopicCrunch Project File	topc	SEO Project file holding keywords, domain and search engine settings	web	text		
Torque Game Engine	dts		3d-graphics			
Track ax media	txm		audio, music			
Troff	troff		document			
True Audio	tta	Free lossless audio codec	audio, music, sound, lossless, compressed			
True Image backup	tib		archive, compression	binary		Acronis
TrueCryp Virtual encrypted disk container	tc		security, encryption			TrueCryp
TrueType Font	ttf, ttc		font			
Truevision TGA (Targa) image	tga, targa, icb, vda, vst, pix		raster-graphic, image			
Turbo Pascal included source	inc		code			
TurboCAD 	tcw	For Windows 2D and 3D drawing	CAD			
TurboCAD drawing template	tct		CAD			
TurboGrafx-16/PC Engine	pce		video-game-storage-media			
TurboTax File	tax		financial-records			
Turtlebeach SampleVision	smp		audio, music, sound, lossy			
Ultra High Archive Compression	uha		archive, compression	binary		
Uncompressed Massachusetts General Hospital imaging format	mgh	Used by the FreeSurfer brain analysis package	biomedical-imaging			
Unified utility encode	uue	The generic and default format for all things UUe-related.	archive, compression	binary		
Uniform Office Format	uof		document			
Unique Object Markup Language	uoml		document			
Universal 3D file format	u3d		3d-graphics			
Universal Data Link	udl		database			
Universal Document	egt	Universal Document can be used to store CSS type styles	page-description-language			
UNIX Common Object File Format	coff	No suffix for executable image, .o for object files. Now often superseded by ELF	executable-files			
Unreal script format	u		video-game-data			Unreal Engine
USGS DEM file format	dem		gis			
Value Added Process	vap	the native 16-bit binaries compiled for Novell's NetWare Operating System (version 2, NetWare 286, Advanced NetWare, etc.)	executable-files			
Valve Studiomdl Data format	smd		3d-graphics			
Valve Texture Format	vtf		raster-graphic, image			
Variant Call Format	vcf	Standard created by the 1000 Genomes Project that lists and annotates the entire collection of human variants (with the exception of approximately 1.6 million variants).	biology, molecular-biology			
VariCAD drawing file	dwb		CAD			
Vectorworks	vwx		3d-graphics			
Vendor neutral gate-level netlist format	edif		EDA			
Ventura Publisher	chp, pub, sty, cap, cif, vgr, frm	Xerox (DOS / GEM)	desktop-publishing			
Verilog source file	v		EDA			
VHDL source file	vhd, vhdl		EDA			
Video format	roq		video-game-data			
Video Game Music	vgm	Log for several different chips	audio, music			
video standard data file	dat	Automatically created during attempt to burn a video file on a CD	video			
VideoPad project file	vpj		video-editing			
Vim swap file	swp		temporary			vim
Virtual Architecture CAD file	acp	VA Software VA	CAD			
Virtual Floppy Disk	vfd		virtual-machine,  virtual-server			
Virtual Hard Disk	vhd		virtual-machine,  virtual-server			
Virtual Machine BIOS	nvram		virtual-machine, vmware			
Virtual Machine Configuration	vmc		virtual-machine,  virtual-server			
Virtual Machine configuration	vmx,cfg		virtual-machine, vmware			
Virtual Machine Disk	vmdk, dsk		virtual-machine, vmware			
Virtual Machine hard disk	hdd		virtual-machine, parallels-workstation			
Virtual Machine Logfile	log		virtual-machine, vmware			
Virtual Machine paging file	vmem		virtual-machine, vmware			
Virtual Machine preferences/configuration	pvs		virtual-machine, parallels-workstation			
Virtual Machine Saved State	vsv		virtual-machine,  virtual-server			
Virtual Machine saved state	sav		virtual-machine, parallels-workstation			
Virtual Machine snapshot	vmsn		virtual-machine, vmware			
Virtual Machine snapshot metadata	vmsd		virtual-machine, vmware			
Virtual Machine suspended state	vmss,std		virtual-machine, vmware			
Virtual Machine team configuration	vmxf		virtual-machine, vmware			
Virtual Machine team data	vmtm		virtual-machine, vmware			
Virtual Reality Modeling Language	wrl, vrml	Creation of 3D viewable web images.	scene-description-language			
Virtual Software Archive	vsa		archive, compression	binary		Altiris 
Virtual Undo Disk	vud		virtual-machine,  virtual-server			
VirtualBox Virtual Disk Image	vdi		virtual-machine, virtualbox			
Visicalc	vc		spreadsheet			
Vision numeric Drawing	vnd		scene-description-language			TypeEdit, Gravostyle
Visual Basic	bas		code			
Visual Basic .NET project	vbproj		code			
Visual Basic class	cls		code			
Visual Basic extensions	vbx		object-extensions			
Visual Basic form	frm		code			
Visual Basic form stash file (binary form file)	frx		code			
Visual Basic project	vbp, vip		code			
Visual Basic Script	vbs		script			
Visual Basic.NET source	vb		code			
Visual Boy Advance Save States	sgm		video-game-storage-media			
Visual C++ project	vcproj		code			
Visual Studio Analyzer project	vap		code			
Visual Studio compatible project group	vbg		code			
Visual Studio deployment project	vdproj		code			
Visual Studio solution	sln		code			
Visualization Storage Format	silo	A storage format for visualization developed at Lawrence Livermore National Laboratory	scientific-data-exchange			
VIV	viv	Archive format used to compress data for several video games	archive, compression	binary		Need For Speed: High Stakes
VocaListener project file	vcls		audio-editing, music-production			
Vocaloid 2 Editor sequence	vsq	Excluding wave-file	audio-editing, music-production			
Vocaloid 3 Editor sequence	vsqx	Excluding wave-file	audio-editing, music-production			
Vocaloid phoneme library	ddi	Japanese, English, Korean, Spanish, Chinese, Catalan	web			
Vocaloid singers voice Generator	ddb	Generating code for Vocaloid singers voice (see .DDI)	web			
VOL	vol	unknown archive	archive, compression	binary		
voucher design	v2d	Used by the voucher management included in JFire	scene-description-language			
voxels in cryo-electron microscopy	mrc		3d-graphics			
Voxels in cryo-electron microscopy	mrc		scientific-data-exchange			
VRML Virtual reality modeling language	vrml97		3d-graphics			
Vue scene file	vue		3d-graphics			
VVVVVV	vvvvvv		video-game-data			VVVVVV
Wakanda (software) database Data file	wadata		database			
Wakanda (software) database Index file	waindx		database			
Wakanda (software) database Journal file	wajournal		database			
Wakanda (software) database Model file	wamodel		database			
Waveform Generation Language	wgl	Format for Test Patterns for IC	EDA			
Wavefront Object File	obj		3d-graphics			
Wavexpress	wax	A ZIP alternative optimized for packages containing video, allowing multiple packaged files to be all-or-none delivered with near-instantaneous unpacking via NTFS file system manipulation.	archive, compression	binary		
WavPack	wv		audio, music, sound, lossless, compressed			
Web Archive	war	Archives of Java Web applications	executable-files			
Web Open Font Format	woff		font			
Web template	tpl		page-description-language			
Westwood 3D Model	w3d		3d-graphics			
Wii	bin		video-game-storage-media			
Wilcom ES Designer Embroidery CAD file	emb		CAD			
Win32 PE file	bpl	A Win32 PE file created with Borland Delphi or C++Builder containing a package.	executable-files			
Windows help file	hlp		web			
Windows Live Movie Maker project file	wlmp		desktop-publishing			
Windows Live Movie Maker project file	wlmp		video-editing			
Windows Media Audio	wma		audio, music, sound, lossy			
Windows Media Audio 9 Lossless	wma		audio, music, sound, lossless, compressed			
Windows Media Center recorded television format	dvr-ms	On Windows XP Media Center Edition	video			
Windows Media Database file	wmdb	The CurrentDatabase_360.wmdb file can contain file name, file properties, music, video, photo and playlist information.	database			
Windows Media Video	wmv	See ASF	video			
Windows Meta File	wmf		scene-description-language			
Windows Movie Maker project file	mswmm		video-editing			
Windows Phone package	xap		executable-files			
Windows PowerShell console file	psc1		script			
Windows PowerShell data file	psd1		script			
Windows PowerShell format and type definitions	ps1xml		script			
Windows PowerShell module file	psm1		script			
Windows PowerShell shell script	ps1		script			
Windows Type Library	tlb		object-extensions			
Wings3D	wings		3d-graphics			
WinIM Contact file	pcontact		database			
WordIt! document	wrd		document			
WordPerfect document	wpd		document			
WRL	wrl	Similar to STL, but includes color. Used by various CAD systems and 3D printing rapid prototyping machines. Also used for VRML models on the web.	CAD			
X Window System Bitmap	xbm		raster-graphic, image			
X Window System Pixmap	xpm		raster-graphic, image			
X-ray crystallography voxels (electron density)	ccp4		3d-graphics			
X-ray crystallography voxels (electron density)	ccp4		scientific-data-exchange			
X3D	x3d		scene-description-language			
Xbox 360 executable	xex		executable-files			
Xbox executable	xbe		executable-files			
XCOFF	o, a	No suffix for executable image, .o for object files, .a for shared object files. Extended COFF, used in AIX	executable-files			
xDT	xdt	a family of data exchange formats for medical records	biomedical			
XeX	xex		video-game-data, trackmania			TrackMania
XHTML	xhtml, xht	eXtensible HyperText Markup Language	webpage, static			
XM	xm	Fast Tracker module, adding instrument envelopes	audio, music			
XML Common Biometric Format	cbfx, xml	Based upon XCBF 1.1 (OASIS XML Common Biometric Format)	biometric-formats	text		
XML Extended Biometric Format	ebfx, xml	Based on CBFX but with W3C XML Encryption support and semantic extensions	biometric-formats	text		
XML Shareable Playlist Format	xspf, xml		playlists			
XML Style Sheet	xslt, xsl		page-description-language			
XML-based interchange format	gpx, xml		gis			
XProc script/pipeline	xpl		script			
XProc script/pipeline	xpl		code			
XQuery file	xq		code			
XSL Formatting Objects	xml		page-description-language		https://en.wikipedia.org/wiki/XSL_Formatting_Objects	
XSLT stylesheet	xsl		code			
yacc source	y		code			
Yamaha TwinVQ	vqf		audio, music, sound, lossy			
YAML Ain't Markup Language	yaml	Superset of JSON		text		
You Need a Budget File	ynab		financial-records			
YUV	yuv	Raw video format - Resolution (horizontal x vertical) and Sample structure 4:2:2 or 4:2:0 need to be known explicitly	video			
Z	z	Unix compress file	archive, compression	binary		
Zebra Technologies proprietary format	grf		raster-graphic, image			
Zip	zip	popular compression format	archive, compression	binary		
ZIP-based package for songs, themes and announcer packs	smzip		video-game-data			Stepmania
Zip-compressed Massachusetts General Hospital imaging format	mgz	Used by the FreeSurfer brain analysis package	biomedical-imaging			
Zmodeler	z3d		3d-graphics			
zoo	zoo	based on LZW	archive, compression	binary		
ZSNES Save States	zst, zs1-zs9, z10-z99		video-game-storage-media			
Zune Playlist format	zpl	From Microsoft	playlists			Xbox Music, Zune
